timestamp,ip_address,request_type,status_code,user_agent,session_id,location,label,anomaly_flag,fingerprint
2025-06-27 14:52:20,191.41.193.135,GET,301,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_12_5 rv:6.0; sl-SI) AppleWebKit/532.34.5 (KHTML, like Gecko) Version/5.0.3 Safari/532.34.5",f535a2d1e1d8bf86,Suriname,normal,0,2b9eb307fbb20b8f
2025-07-11 03:23:22,209.115.22.150,GET,200,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_8) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/56.0.836.0 Safari/534.2",12b44dd2e3f3e84e,Anguilla,normal,0,8aa63fdeecb038d6
2025-06-29 12:21:50,194.187.61.37,GET,200,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_3 like Mac OS X; brx-IN) AppleWebKit/533.4.4 (KHTML, like Gecko) Version/3.0.5 Mobile/8B113 Safari/6533.4.4",1f95ebf937c7e4d5,Tanzania,normal,0,b6d01b194e0551e8
2025-07-05 11:32:22,192.101.118.224,POST,301,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/531.43.4 (KHTML, like Gecko) Version/5.1 Safari/531.43.4",8d07a9d2eaf55836,Barbados,normal,0,c49242dc82783de6
2025-06-27 03:31:15,222.118.197.216,POST,200,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/9886-05-15 18:20:37 Firefox/3.6.13,ef65e433bec63688,Saint Martin,normal,0,c5472f4b56c32d72
2025-06-23 11:38:53,205.59.4.205,POST,200,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.01; Trident/3.0),284e711e73a5df1e,Sweden,normal,0,c583d29a99e8843f
2025-07-08 07:27:07,209.115.22.150,GET,200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_8; rv:1.9.5.20) Gecko/8043-08-25 22:55:50 Firefox/3.6.1,3d4ca62f02973f68,Chad,normal,0,f822e6687785a0aa
2025-07-02 17:48:06,9.9.38.26,GET,200,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/532.1 (KHTML, like Gecko) Chrome/18.0.813.0 Safari/532.1",c3403ce13782f458,Russian Federation,normal,0,2ff459df4c1cdb0d
2025-06-22 17:50:18,8.102.194.35,POST,200,Mozilla/5.0 (Windows 98; hne-IN; rv:1.9.1.20) Gecko/3951-05-11 12:12:59 Firefox/10.0,d4644ce09fc937e9,Sweden,normal,0,5373c1274cb9e3c6
2025-07-14 17:53:34,212.131.29.108,POST,403,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_9_7) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/53.0.825.0 Safari/532.0",d3a9454ff1f24b0c,Mexico,hijacked,1,37d2e7f80e0d8a83
2025-06-23 18:50:18,179.152.73.118,GET,200,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 10.0; Trident/4.0),a811603c22e45865,Ireland,normal,0,d477437138930ba2
2025-07-12 06:20:14,16.108.98.70,POST,200,"Mozilla/5.0 (Windows 95) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/62.0.898.0 Safari/535.0",9a3e5773b3e92edf,Monaco,normal,0,a5d008f28ab4bedc
2025-06-30 06:13:30,146.157.131.12,GET,200,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Win 9x 4.90; Trident/5.1),7723c7a439ca1541,Luxembourg,normal,0,91343efb8fa4e2e0
2025-06-24 09:26:02,207.45.121.26,GET,200,Opera/9.44.(X11; Linux x86_64; dv-MV) Presto/2.9.189 Version/11.00,9e627a4c19201be4,Indonesia,normal,0,e3854af1009a3a22
2025-06-29 00:48:56,164.208.2.203,GET,302,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Win 9x 4.90; Trident/5.1),9db92ef63b3fb3d6,Sri Lanka,normal,0,a98940027a1e18a1
2025-07-18 18:29:45,16.108.98.70,GET,200,Opera/9.59.(X11; Linux i686; fo-FO) Presto/2.9.190 Version/10.00,dd5bccfa1c12c0b5,British Indian Ocean Territory (Chagos Archipelago),normal,0,b23bbc9faf888c9f
2025-06-27 20:55:27,120.149.33.0,POST,200,Mozilla/5.0 (Windows NT 5.0; km-KH; rv:1.9.1.20) Gecko/4709-10-14 11:40:17 Firefox/3.6.1,b14356969225afb6,Afghanistan,normal,0,108d4dbc2c773548
2025-07-07 10:43:40,204.100.66.190,POST,200,Mozilla/5.0 (Windows 98; bg-BG; rv:1.9.2.20) Gecko/5972-05-05 08:01:04 Firefox/3.6.17,40c91fc40b5ed01b,Taiwan,normal,0,b61fbd735a0fca64
2025-07-01 15:54:07,43.175.192.255,DELETE,200,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_8) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/56.0.836.0 Safari/534.2",4d63f4e49873d08c,Cote d'Ivoire,normal,0,3d686594bfa3ae46
2025-07-05 18:18:45,200.6.17.157,POST,200,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_9_7) AppleWebKit/532.0 (KHTML, like Gecko) Chrome/53.0.825.0 Safari/532.0",b082cdc7ef07e1d6,Saint Barthelemy,normal,0,f1f1dd7f3ffd1c22
2025-07-18 18:23:37,216.107.96.132,GET,200,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_9_7 rv:4.0; fy-DE) AppleWebKit/532.24.5 (KHTML, like Gecko) Version/4.0.4 Safari/532.24.5",a3c732794beb59ca,Jamaica,normal,0,2fe01bf6285c5422
